Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /user/search,3953,1147,807,2664,3268,4880,14,8297,0.000%,21.84545,3577.53,11.18
TOTAL,3953,1147,807,2664,3268,4880,14,8297,0.000%,21.84545,3577.53,11.18
