Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /user/search,49,118167,119289,177971,183382,189786,8017,189786,0.000%,.19792,0.08,0.10
TOTAL,49,118167,119289,177971,183382,189786,8017,189786,0.000%,.19792,0.08,0.10
